Frequency,Monetary,Cluster
4,652.8,3
56,289.24,3
48,765.62,3
10,186.23,3
56,163.12,3
110,846.17,3
216,2381.04,3
21,324.14,3
32,0,3
76,2174.18,3
68,1058.26,3
443,4684.47,1
126,3024.87,3
4,1432,3
33,1445.26,3
12,227.39,3
29,218.06,3
269,2744.05,3
240,1601.44,3
122,855.51,3
24,168.63,3
17,138.6,3
6,114.11,3
328,1042.92,3
101,1029.26,3
29,157.05,3
27,134.16,3
371,1580.04,3
3,39.75,3
197,1447.14,3
163,568.18,3
152,617.99,3
53,379.83,3
102,1740.6,3
55,883.15,3
50,221.97,3
25,393.33,3
7,213.96,3
2,660,3
2721,11505.9,1
114,11341.1,1
20,1785.15,3
4,601.56,3
3,406.08,3
17,538.59,3
22,379.51,3
29,380.68,3
96,1765.76,3
21,320.58,3
135,869.35,3
13,225.85,3
57,848.48,3
125,2739.37,3
5,-21.85,3
24,671.96,3
152,936.61,3
39,988.26,3
8,114.56,3
20,344.9,3
28,609.85,3
15,385.8,3
175,2952.34,3
112,2037.11,3
7,110.46,3
2,96.12,3
30,651.81,3
29,780.46,3
30,597.09,3
2071,278273,2
30,243.22,3
198,1412.61,3
102,654.6,3
29,114.18,3
237,1947.55,3
50,1930.15,3
80,291.05,3
127,838.27,3
29,247.15,3
257,2443.53,3
30,285.74,3
4,107.95,3
165,761.88,3
99,637.89,3
117,1258.38,3
14,195.25,3
576,9231.2,1
170,1269.99,3
132,411.53,3
61,765.55,3
74,1736.4,3
102,604.75,3
43,2528.12,3
1,-2.55,3
320,26932.3,0
7,498.95,3
2,52,3
420,1235.63,3
15,628.38,3
335,4932.84,1
13,112.8,3
54,358.61,3
71,2114.33,3
69,582.05,3
8,172.9,3
129,2000.38,3
22,188.61,3
205,1241.36,3
8,109.13,3
115,2235.3,3
350,2486.22,3
348,3250.64,1
22,318.17,3
407,1534.41,3
1,179,3
29,1096.67,3
197,4911.14,1
139,606.13,3
355,2816.84,3
25,917.07,3
341,2664.26,3
10,160.19,3
70,856.88,3
55,329.68,3
237,1587.14,3
37,663.81,3
29,187.92,3
278,1158.3,3
52,718.08,3
10,268.58,3
69,297.79,3
500,2004.41,3
45,380.02,3
149,2686.34,3
214,9411.94,1
205,5807.69,1
17,1164.55,3
56,1289.94,3
61,3899.1,1
93,1423.21,3
59,1400.34,3
28,1088.53,3
70,1167.16,3
19,294.3,3
92,1311.79,3
5,389.64,3
30,563.15,3
41,638.05,3
236,4949.78,1
38,738.96,3
19,420.5,3
70,1434.16,3
101,1613.22,3
7,53.8,3
11,255.9,3
21,300.52,3
7,250.55,3
39,254.11,3
134,2388.33,3
6,139.5,3
1087,10606.3,1
52,876.42,3
9,139.26,3
60,1011.9,3
134,2195.58,3
3,-17.45,3
35,730.86,3
41,386.15,3
27,447.68,3
6,200.1,3
14,285.43,3
3,77.4,3
30,679.44,3
6,197.64,3
45,727.36,3
4,0,3
15,214.14,3
81,1269.83,3
6,131.45,3
1147,7756.84,1
12,173.74,3
13,157.7,3
391,4225.84,1
58,188.46,3
44,845.55,3
12,353.27,3
47,554.65,3
11,193.39,3
255,2165.29,3
254,2082.84,3
30,155.43,3
51,759.78,3
4,271.85,3
63,1110.34,3
47,630.8,3
13,272.07,3
29,507.29,3
2,48.8,3
69,316.48,3
27,1096.51,3
121,2226.91,3
17,2139.76,3
45,644.65,3
40,197.13,3
70,1698.35,3
6,102.45,3
110,1641.2,3
4,62.85,3
138,3295.76,1
158,2456.8,3
130,3189.81,3
13,309.4,3
392,7904.28,1
22,278.15,3
28,511.35,3
140,2789.89,3
10,463.05,3
126,2671.89,3
20,645.65,3
66,1311.38,3
61,1165.65,3
59,1352.04,3
12,168.62,3
5,116.67,3
48,841.2,3
11,266.76,3
4,52.2,3
103,14197.5,0
37,701.33,3
147,2939.64,3
72,721.95,3
13,327.25,3
98,522.38,3
27,499.88,3
50,1448.72,3
124,1485.54,3
46,701.15,3
17,255.4,3
11,589.7,3
54,756.64,3
15,765.32,3
16,325.2,3
6,1862,3
20,369.2,3
10,135.9,3
7,125.65,3
33,554.38,3
72,1220.15,3
23,655.75,3
503,10965.1,1
38,397.77,3
54,1325.88,3
119,1228.32,3
97,1414.34,3
24,314.11,3
359,2698.43,3
69,1025.44,3
18,599.9,3
168,3478.85,1
9,277.8,3
35,389.86,3
5863,132066,4
22,536.24,3
83,1182.31,3
11,219.23,3
78,1234.84,3
45,1610.15,3
57,977.77,3
76,1295.67,3
44,749.1,3
10,310.05,3
11,223.88,3
126,2311.36,3
42,964.68,3
17,363.53,3
88,1888.84,3
10,1784.71,3
365,8106.92,1
33,1553.88,3
171,5808.27,1
3,100.9,3
14,290.82,3
63,1048.87,3
20,361.25,3
20,311.69,3
149,7912.79,1
55,289.82,3
85,336.17,3
12,58.49,3
42,499.68,3
61,684.97,3
26,216.23,3
316,6986.78,1
5,126.7,3
195,1473.76,3
13,206.21,3
79,576.41,3
36,172.6,3
6,463.8,3
37,147.59,3
34,1592.06,3
160,1116.57,3
17,102.02,3
32,1314.45,3
21,114.39,3
11,279.94,3
73,765.86,3
214,1925.12,3
8,102.12,3
39,196.77,3
87,296.75,3
4,326.4,3
39,321.79,3
61,233.23,3
27,540.98,3
74,427.77,3
1,6,3
1,12,3
2,2,3
76,479.27,3
113,1631.68,3
157,1245.67,3
1140,6029.04,1
142,500.79,3
12,156.91,3
174,1249.13,3
20,308.94,3
126,413.68,3
35,260.17,3
20,170.04,3
20,125.58,3
32,456.26,3
70,266,3
478,1859.53,3
135,905.04,3
556,6705.94,1
154,1656.29,3
72,377.01,3
59,462.4,3
37,1051.95,3
48,627.13,3
7,518.28,3
111,668.14,3
55,4464.1,1
509,2551.73,3
400,4277.66,1
27,252.73,3
126,463.6,3
132,660.91,3
1505,19772.3,0
67,180.35,3
5,135.93,3
3,537,3
460,7622.63,1
13,633.66,3
204,5004.61,1
22,343.62,3
98,380.57,3
3,121.17,3
80,1727.17,3
143,1391.61,3
30,215.78,3
71,697.79,3
112,301.72,3
25,1489.5,3
276,2124.99,3
237,1319.52,3
121,303.09,3
408,54172.6,4
57,987.86,3
5,370.8,3
157,3118.28,3
52,755.55,3
82,1744.76,3
104,553.36,3
70,1109.53,3
1,106.2,3
26,982.07,3
76,612.43,3
42,748.87,3
27,773.03,3
49,880.85,3
451,9623.35,1
48,893.66,3
35,487.35,3
5,88.2,3
15,306.94,3
58,1130.19,3
143,2403.05,3
22,361.52,3
31,476.96,3
26,457.81,3
103,4287.8,1
49,1364.7,3
11,219.39,3
25,248.08,3
5,649.5,3
20,340.13,3
6,635.1,3
9,310.03,3
35,703.36,3
69,995.22,3
101,2298.93,3
102,1407.73,3
20,247.66,3
61,1291.75,3
31,463.75,3
40,970.25,3
84,1567.48,3
101,3439.41,1
194,2713.76,3
21,340.11,3
45,1352.75,3
80,1550.13,3
1,244.8,3
14,266.4,3
22,343.82,3
27,447.52,3
86,1607.09,3
106,2199.31,3
15,184.19,3
140,11117.1,1
16,406.53,3
111,1419.54,3
84,3447.4,1
22,330.11,3
52,977.93,3
29,982.42,3
73,1387.99,3
10,127.15,3
69,1282.45,3
13,178.96,3
81,2350,3
26,498.74,3
14,259.45,3
218,6530.04,1
67,1194.73,3
95,1313.66,3
29,608.65,3
20,301.29,3
23,520.8,3
343,5298.93,1
278,4684.24,1
22,329.25,3
91,240.08,3
54,956.45,3
131,1809.5,3
7,401.4,3
713,18425.8,0
4,158.16,3
29,304.47,3
103,843.05,3
27,487.75,3
41,163,3
5,106.56,3
7,1034.5,3
110,1624.05,3
11,135.75,3
23,224.14,3
3,40.5,3
95,2186.2,3
6,87.5,3
18,680.28,3
29,622.85,3
63,406.76,3
21,310.62,3
19,411.41,3
93,4670.08,1
231,15788.6,0
49,1017.32,3
19,499.32,3
325,7511.81,1
1,3861,1
36,656.44,3
10,193.64,3
13,1268.7,3
97,927.84,3
140,1817.72,3
9,316.58,3
38,648.83,3
9,420.3,3
43,867.62,3
20,331.18,3
52,894.41,3
7,88.95,3
25,325.05,3
109,1656.4,3
43,615.99,3
2,96.6,3
166,5756.89,1
9,305.75,3
118,1753.88,3
11,114.1,3
5,585,3
32,454.9,3
16,310.48,3
20,362.6,3
8,154.41,3
58,1219.4,3
126,3376.96,1
22,419.1,3
31,612.06,3
14,197,3
137,2177.83,3
15,321.05,3
96,1386.64,3
52,1056.54,3
52,764.34,3
82,1665.77,3
109,1698.99,3
22,316.68,3
34,631.57,3
89,2515.84,3
33,514.15,3
6,356,3
356,6617.76,1
121,10327.1,1
43,725.48,3
55,915.3,3
18,300.36,3
47,890.85,3
6,98.45,3
8,232.15,3
33,603.36,3
78,1780.77,3
19,254.82,3
10,178.95,3
12,156.51,3
23,393.74,3
82,1506.12,3
6,119.3,3
11,1717.36,3
2,408.8,3
48,2298.2,3
269,2441.62,3
63,721.94,3
47,716.57,3
41,604.15,3
51,134.66,3
11,250.86,3
21,277.41,3
16,113.12,3
150,2239.95,3
3,240.55,3
21,485.24,3
88,2306.52,3
59,935.1,3
211,7764.17,1
109,4596.51,1
25,180.94,3
200,3610.31,1
41,635.04,3
193,3769.06,1
12,3787.09,1
28,496.44,3
239,4923.72,1
31,574.02,3
26,680.3,3
54,1122.51,3
12,205.3,3
21,302.27,3
2467,59318.3,4
48,921.1,3
1,52,3
23,322.93,3
38,551.54,3
1,165,3
33,312.62,3
16,204.5,3
36,267.13,3
106,2650.73,3
49,602.97,3
49,162.29,3
28,306.67,3
10,208.75,3
62,1005.5,3
8,509.04,3
35,1661.06,3
16,1028.56,3
98,350.37,3
36,173.97,3
88,557.57,3
17,2020.52,3
26,391.76,3
21,364.5,3
32,476.58,3
23,367.69,3
17,252.42,3
5,201.6,3
9,158.04,3
72,473.81,3
5,115.65,3
232,1860.89,3
63,777.02,3
14,277.05,3
507,2708.5,3
554,8199.52,1
13,427.93,3
7,418.92,3
17,318.05,3
29,913.19,3
150,1320.25,3
44,602.51,3
96,1867.69,3
4,446.94,3
1,-1592.49,3
94,2313.75,3
27,2007.4,3
132,1937.86,3
3,168,3
115,1219.26,3
195,3626.85,1
37,1682.36,3
8,596.85,3
304,5917.78,1
43,635.76,3
12,316.88,3
31,394.14,3
9,130.64,3
1,500,3
85,1515.73,3
12,231.86,3
85,2183.54,3
7,107.45,3
14,288.18,3
6,94,3
74,1339.63,3
50,815.77,3
13,666.7,3
42,626.77,3
8,349.1,3
58,426.61,3
152,1025.24,3
34,267.18,3
122,3450.84,1
99,1322.98,3
10,190.53,3
39,774.9,3
46,510.41,3
193,3974.37,1
28,508.8,3
8,135.86,3
53,950.36,3
6,97.7,3
2,43.5,3
17,383.34,3
300,1429.9,3
303,1470,3
6,93.78,3
82,364.25,3
10,171.19,3
53,417.87,3
59,997.48,3
28,144.34,3
323,1114.45,3
43,193.41,3
25,156.58,3
62,383.68,3
2,594,3
382,3195.36,3
218,1416.31,3
5,113.5,3
9,155.17,3
28,494.64,3
62,971.22,3
30,429.84,3
55,532.23,3
284,1387.07,3
24,165.6,3
58,437.98,3
54,231.07,3
7,161.64,3
58,216.76,3
11,234.6,3
7,126.14,3
155,1042.25,3
104,6945.02,1
57,334.53,3
53,511.88,3
29,438.46,3
27,504.5,3
77,469.48,3
76,371.56,3
14,1465.2,3
29,454.11,3
46,1441.42,3
44,903.22,3
127,6568.72,1
83,223.25,3
188,3558.56,1
81,2539.72,3
2,91.32,3
54,1077.28,3
155,3090.85,3
35,659.46,3
296,1954.5,3
125,1299.23,3
16,1259.7,3
519,12357.2,1
68,1131.56,3
248,5421.86,1
70,147.09,3
13,52.83,3
97,3293.14,1
156,953.62,3
46,492.36,3
91,987.52,3
1,250,3
160,909.23,3
6,105.7,3
309,14459.4,0
218,2963.19,3
15,62.43,3
27,267.03,3
219,1906.85,3
18,343.5,3
200,2574.65,3
57,398.84,3
10,412.01,3
1,440,3
180,811.02,3
4,148.44,3
166,2348.82,3
26,229.33,3
663,3913.3,1
108,1502.35,3
223,1993.24,3
260,1508.58,3
85,745.78,3
77,457.8,3
24,110.92,3
41,538.46,3
15,213.3,3
27,82.53,3
28,127.86,3
259,3532.43,1
81,292.72,3
698,4935.13,1
116,1655.76,3
61,575.63,3
29,436.06,3
17,90.12,3
56,437.23,3
14,217.2,3
915,4699.84,1
31,279.77,3
20,473.65,3
30,695.74,3
1,134.55,3
117,1319.69,3
8,173.16,3
7,186.01,3
53,758.29,3
31,1375.71,3
327,4055.07,1
57,650.43,3
215,2552.86,3
104,607.45,3
168,702.25,3
45,940.67,3
39,258.88,3
13,127.1,3
51,348.6,3
151,3429.97,1
43,677.87,3
125,722.61,3
31,455.3,3
9,913.68,3
29,446.38,3
1,-30.19,3
24,388.58,3
5,199.8,3
104,1767.53,3
80,1299.84,3
23,315.72,3
16,235.68,3
51,756.7,3
404,6664.24,1
54,1083.63,3
2,48.48,3
17,216.39,3
66,1184.73,3
89,2368.04,3
11,100.2,3
59,1079.78,3
18,270.03,3
6,112.46,3
45,1568.39,3
6,195.15,3
429,10360,1
49,747.031,3
3,336.4,3
104,1524.4,3
18,1158.77,3
214,3224.53,3
19,301.03,3
34,588.13,3
68,1504.56,3
48,660.8,3
157,2865.64,3
59,1161.68,3
174,3111.07,3
15,243.55,3
25,724.76,3
15,223.36,3
2,-94,3
23,415.24,3
494,12428.3,1
115,1839.2,3
36,647.4,3
235,805.41,3
52,612.01,3
35,412.39,3
28,599.9,3
2,816,3
32,646.3,3
21,337.74,3
6,877.44,3
21,922.53,3
37,511.32,3
47,748.5,3
1,30,3
55,939,3
11,306.45,3
93,1534.67,3
5,309.8,3
9,138.14,3
19,358.63,3
114,2179.61,3
13,301.32,3
1,76.32,3
35,677.69,3
12,173.05,3
81,2635.49,3
155,2881.02,3
135,1744.02,3
21,323.69,3
215,3304.29,1
33,657.23,3
12,352.7,3
110,781.28,3
77,1323.48,3
67,946.36,3
10,193.75,3
168,2981.5,3
9,254.1,3
19,239.76,3
2,136.8,3
12,191.04,3
78,6410.1,1
22,409.98,3
176,2624.66,3
18,309.65,3
89,664.03,3
237,1542.14,3
5,211.5,3
117,2293.62,3
6,143.1,3
59,1001.81,3
212,937.18,3
297,3329.72,1
6,133.25,3
53,1072.36,3
20,346.75,3
35,330.88,3
117,1115.51,3
7,150.3,3
935,5034.81,1
128,598.73,3
90,502.04,3
69,2124.51,3
41,203.1,3
12,212.3,3
32,415.25,3
302,5178.96,1
4,-134.8,3
6,62,3
73,1108.38,3
14,294.12,3
10,162.3,3
26,1339.45,3
80,1111.85,3
176,4788.77,1
8,449.12,3
9,154.88,3
88,784.46,3
3,34.8,3
65,1071.24,3
29,182.96,3
93,974.04,3
21,149.31,3
15,21535.9,0
289,2397.66,3
410,2621.34,3
1,79.2,3
29,455.67,3
149,2318.88,3
190,528.76,3
44,709.38,3
9,205.25,3
6,248,3
37,583.75,3
62,1028.87,3
187,3240.43,3
11,315.06,3
28,581.83,3
147,51823.7,4
10,635.68,3
25,270.8,3
7,104.9,3
18,241.62,3
22,1021.61,3
29,475.28,3
21,333.56,3
44,2593.94,3
14,246.3,3
87,2303.75,3
279,4814.4,1
206,948.05,3
23,321.3,3
35,220.85,3
76,1604.44,3
13,948.96,3
41,604.97,3
133,2656.86,3
8,2207.4,3
97,874.78,3
118,696.48,3
67,1020.74,3
3,-451.42,3
8,415.82,3
273,3843.51,1
306,5441.67,1
31,784.58,3
48,903.9,3
209,3704.97,1
43,399.21,3
112,1145.43,3
139,2171.32,3
41,1801.14,3
40,1303.91,3
74,1842.73,3
49,2100.6,3
122,1900.41,3
17,206.98,3
62,570.96,3
33,885.47,3
17,-840.76,3
18,528.38,3
65,1586.96,3
134,1641.48,3
50,612.74,3
41,547.7,3
69,747.76,3
54,836.79,3
271,2065.7,3
50,954.09,3
12,117.47,3
24,391.98,3
169,33350.8,0
65,1020.74,3
28,345.66,3
50,1209.1,3
8,118.95,3
11,130.74,3
140,3650.87,1
22,389.27,3
96,232.1,3
22,160.71,3
30,110.8,3
137,2960.61,3
80,712.24,3
641,16099.7,0
14,297,3
188,1413.65,3
142,977.21,3
542,2978.86,3
147,832.88,3
18,68.84,3
24,1769.78,3
39,884.63,3
45,230.53,3
460,3788.69,1
15,149.64,3
75,349.05,3
128,360.93,3
136,4315.55,1
131,440.78,3
104,311.33,3
31,426.44,3
24,495.36,3
47,386.4,3
18,379.35,3
12,181.09,3
14,141.27,3
93,446.87,3
61,519.48,3
40,258.51,3
11,179.17,3
24,222.05,3
87,1384.68,3
3,46.35,3
51,351.11,3
116,363.88,3
69,5065.86,1
30,164.68,3
150,1517.59,3
248,962.77,3
7,191.94,3
264,1223.5,3
18,259.52,3
155,1451.34,3
12,123.1,3
39,332.53,3
140,624.77,3
60,167.5,3
25,336.03,3
12,363.6,3
21,127.08,3
12,207.15,3
21,426.63,3
118,2446.25,3
74,1107.46,3
12,416.86,3
7,145.35,3
18,404.58,3
77,6102.26,1
2,31.8,3
14,337.44,3
6,325.1,3
2,181,3
29,1708.24,3
60,955.24,3
19,364.72,3
102,1685.46,3
41,637.02,3
91,806.57,3
103,1634.53,3
185,4389.81,1
42,428.89,3
7,104.35,3
28,470.76,3
122,845.64,3
81,416.23,3
21,582.9,3
11,314.1,3
35,4199.85,1
6,99.77,3
172,3360.79,1
24,371.01,3
97,428.84,3
65,1054.73,3
49,1098.78,3
43,2398.86,3
97,3408.48,1
113,1475.02,3
272,2807.38,3
36,990.62,3
14,168.12,3
139,1446.6,3
27,158.03,3
52,792.11,3
3,41.99,3
554,2729.22,3
35,427.07,3
130,1039.74,3
508,3079.13,3
1,24,3
1,2,3
9,12393.7,1
103,2735.37,3
215,613.44,3
8,101.4,3
372,1666.71,3
33,478.78,3
90,992.71,3
86,407.5,3
211,3358.96,1
94,1415.29,3
151,33366.2,0
147,650.18,3
183,685.86,3
237,1483.31,3
32,211.88,3
28,408.9,3
165,3450.24,1
46,851.01,3
76,628.28,3
101,719.81,3
64,251.24,3
28,439.66,3
32,236.09,3
17,852.12,3
274,50992.6,4
29,331.24,3
98,539.22,3
1134,8667.11,1
22,437.7,3
54,753.88,3
39,855.02,3
28,454.33,3
65,1313.55,3
6,3166.4,3
75,1147.37,3
39,773.99,3
82,1330.5,3
9,243.69,3
310,1099.94,3
10,137.9,3
34,362.06,3
84,1511.95,3
70,783.9,3
8,134.8,3
68,664.85,3
134,2140.22,3
180,1459.86,3
1,-29.95,3
60,1133.46,3
23,335.32,3
74,372.09,3
102,1521.87,3
33,852.15,3
21,326.24,3
23,584.32,3
2,94.35,3
131,2173.53,3
1,79.2,3
21,1352,3
11,176.6,3
226,2800.4,3
29,1257.62,3
38,436.18,3
167,981.51,3
40,1119.31,3
18,315.06,3
53,779.36,3
1,17,3
67,1041.83,3
12,320.62,3
10,185.05,3
67,2005.63,3
39,731.9,3
83,1245.96,3
56,1713.14,3
48,1429.64,3
29,302.36,3
13,336.96,3
6,108.38,3
31,3204.16,3
49,816.1,3
18,611.88,3
354,1337.48,3
16,195.74,3
30,161.38,3
8,135.75,3
281,1651.32,3
35,592.88,3
30,232.21,3
16,423.36,3
32,1294.14,3
207,860.61,3
38,684.42,3
16,307.78,3
16,187.15,3
13,289.35,3
117,6287.77,1
40,656.25,3
88,1875.18,3
78,3506.54,1
365,14305.7,0
38,603.69,3
21,517.55,3
37,709.38,3
1,-7.95,3
31,635.41,3
37,703.77,3
30,620.4,3
37,535.34,3
117,2400.04,3
1,175.2,3
236,3731.78,1
29,734.13,3
21,369.96,3
1,76.32,3
18,280.52,3
132,1846.97,3
29,1829.04,3
88,1804.43,3
139,3024.62,3
19,644.24,3
14,348.2,3
22,1009.45,3
502,5352.97,1
2,37.4,3
7,441.6,3
35,802.53,3
99,3770.6,1
85,1822.97,3
127,1880.42,3
3,73.2,3
68,1135.17,3
87,1406.57,3
23,1009.55,3
58,1037.59,3
15,331.95,3
8,197.9,3
10,210.79,3
176,10217.5,1
11,305.54,3
28,6617.65,1
15,338.71,3
46,1155.54,3
31,529.41,3
218,3981.44,1
296,6836.2,1
67,981.86,3
11,215.48,3
6,215.08,3
150,4872.52,1
19,314.45,3
15,400.681,3
179,1080.62,3
115,1821.52,3
18,365.27,3
36,589.15,3
57,405.71,3
98,761.38,3
63,537.06,3
19,394.38,3
66,664.26,3
46,2262.62,3
123,21086.3,0
24,542.77,3
43,681.19,3
6,159,3
44,1062.75,3
14,242.35,3
37,914.93,3
19,259.39,3
90,3054.87,3
97,864.86,3
134,838.92,3
91,1259.78,3
134,1096.32,3
8,255.12,3
7,308.32,3
47,1010.6,3
35,542.03,3
38,983.23,3
25,422.13,3
48,858.41,3
20,432.2,3
21,372.9,3
142,3693.81,1
660,2600.97,3
295,3598.26,1
51,409.1,3
88,1472.95,3
93,1352.36,3
16,114.56,3
7,152.94,3
69,1800.07,3
24,389.44,3
21,-295.09,3
124,3665.62,1
270,2600.66,3
14,732.63,3
2,46.95,3
135,5203.51,1
18,1035.45,3
120,738.04,3
3,-31.65,3
255,5343.8,1
61,861.89,3
43,657.57,3
53,1123.54,3
134,1423.29,3
25,411.7,3
65,347.45,3
33,559.87,3
6,810.6,3
25,537.83,3
109,1496.68,3
17,2062.06,3
11,168.3,3
167,1526.47,3
109,823.97,3
8,142.5,3
19,280.9,3
120,2236.74,3
79,1328.55,3
22,259.8,3
27,598.2,3
12,212.82,3
167,5305.83,1
22,361.22,3
44,602.27,3
4,2560,3
44,686.67,3
37,616.26,3
16,274.15,3
14,226.37,3
156,2755.56,3
69,1341.65,3
19,328.15,3
3,404.4,3
56,1038.46,3
16,230.7,3
37,326.75,3
1,207.5,3
117,419.32,3
20,510.54,3
320,3085.96,3
319,3844.22,1
41,242.21,3
152,1564.48,3
45,26626.8,0
10,151.05,3
11,214.8,3
20,109.95,3
152,545.17,3
84,1959.38,3
15,322.41,3
47,370.48,3
2,101.1,3
35,555.91,3
91,883.9,3
234,1456.7,3
9,53.5,3
59,1092.07,3
8,153.9,3
28,494.44,3
94,6675.71,1
39,395.8,3
30,199.82,3
34,658.88,3
110,2024.95,3
70,1460.37,3
661,3361.54,1
106,896.66,3
90,652.07,3
5,109.36,3
53,707.04,3
50,1537.47,3
18,327.3,3
128,794.41,3
76,497.43,3
118,1553.66,3
228,1320.56,3
97,367.93,3
108,471.08,3
128,977.52,3
5,676.2,3
23,362.95,3
109,2131.9,3
32,1780.59,3
101,660.86,3
33,584.5,3
59,555.89,3
88,317.2,3
4,94.36,3
35,1362.27,3
45,221.19,3
357,2938.1,3
100,1412.06,3
207,1472.15,3
86,1631.15,3
73,408.57,3
29,303.93,3
198,4061.24,1
59,292.85,3
15,161.05,3
23,443.05,3
5,167.25,3
63,163.07,3
172,2126.93,3
231,2026.78,3
45,214.65,3
35,151.83,3
31,262.2,3
7,126.25,3
54,210.35,3
73,1026.99,3
102,675.27,3
52,959.48,3
399,33805.7,0
17,328.78,3
6,82.56,3
21,302.7,3
362,1865.91,3
9,241.06,3
1,-2.95,3
2,284.55,3
6,300.85,3
83,642.81,3
8,287.4,3
16,179.22,3
109,1522.25,3
132,798.35,3
282,3640.67,1
24,381.2,3
172,614.84,3
85,636.67,3
63,230.51,3
2,2.9,3
34,196.61,3
19,178.39,3
41,625.19,3
11,311.92,3
14,266.97,3
3,-8.15,3
99,1841.18,3
107,2149.32,3
9,208.36,3
202,3482.74,1
134,810.04,3
33,151.42,3
4,102,3
85,1383.7,3
233,1310.13,3
147,1602.16,3
2,74.9,3
181,649.78,3
171,757.44,3
13,223.95,3
19,314.86,3
368,1811.47,3
28,544.3,3
146,2494.46,3
17,331,3
35,300.83,3
53,769.29,3
18,220.62,3
19,139.35,3
26,379.4,3
42,363.65,3
31,492.2,3
39,731.5,3
62,1329.66,3
50,826.53,3
94,662.06,3
97,1562.22,3
134,2925.97,3
16,86.12,3
22,319.1,3
11,400.86,3
86,1421.43,3
83,482.1,3
4,777.6,3
3,90.3,3
13,363.7,3
13,248.1,3
168,940.36,3
34,827.79,3
113,1627.13,3
6,101.7,3
17,162.7,3
41,476.24,3
13,215.08,3
157,1036.62,3
296,9275.67,1
200,11895.6,1
14,277.61,3
14,228.06,3
17,244.41,3
30,455.25,3
77,1244.59,3
4,6748.8,1
178,1018.06,3
30,588.71,3
56,539.02,3
45,1388.81,3
5,119.62,3
3,339.3,3
30,-106.13,3
978,4143.59,1
261,2266.25,3
32,922.12,3
17,379.73,3
86,5664.57,1
74,641.55,3
17,285.89,3
207,3313.79,1
11,281.85,3
473,8241.44,1
58,816.51,3
31,511.12,3
19,1077.74,3
3,173.7,3
19,614.01,3
35,865.6,3
5,124.2,3
130,3576.15,1
106,1285.22,3
58,999.7,3
46,648.41,3
28,451.44,3
1,-30.6,3
11,70.44,3
6,313.62,3
14,233.45,3
31,908.03,3
8,463.95,3
13,225.15,3
33,459.24,3
10,213.5,3
220,4039.44,1
26,325.35,3
53,181.09,3
85,360.16,3
12,250.15,3
7,90.04,3
11,140.7,3
58,764.2,3
31,244.8,3
32,494.73,3
34,482.47,3
174,3038.67,3
280,5450.96,1
6,75.66,3
11,120.99,3
66,1187.66,3
30,618.59,3
22,443.79,3
33,500.42,3
5,151.85,3
97,2630.64,3
16,204.41,3
9,178.96,3
29,813.48,3
5,129.45,3
48,810.57,3
23,333.08,3
184,4379.65,1
20,322.8,3
119,2183.04,3
64,417.73,3
153,2878.15,3
9,217.9,3
72,1124.59,3
94,1671.43,3
52,1169.38,3
12,231.1,3
35,679.83,3
27,487.51,3
62,833.78,3
14,214.06,3
20,265.82,3
24,518.42,3
122,6614.66,1
76,1166.92,3
31,594.97,3
259,3784.44,1
80,8568.24,1
208,933.62,3
8,123.24,3
2,39.12,3
17,810.45,3
9,135.4,3
29,104.94,3
50,520.15,3
20,306.72,3
161,1370.87,3
261,4017.42,1
6,1692.27,3
117,8093.59,1
97,318.96,3
91,1545.97,3
169,3013.44,3
3,129.75,3
10,183.7,3
44,1770.34,3
30,1028,3
277,65257.2,4
62,324.24,3
587,3038.44,3
62,1260.86,3
16,303.26,3
13,208.63,3
3,1276,3
60,482.01,3
10,657.9,3
21,112.75,3
5,1998,3
311,5029.5,1
153,5140.19,1
284,13946.1,1
123,531.35,3
27,656.63,3
79,3029.87,3
401,2470.29,3
22,1651.03,3
445,3635.35,1
626,6804.95,1
94,911.53,3
19,301.72,3
3,319.8,3
236,3278.36,1
45,623.75,3
203,1773.92,3
27,155.24,3
37,292.47,3
228,4711.21,1
43,589.15,3
146,748.57,3
185,1382.02,3
46,272.82,3
265,1042.22,3
653,7012.83,1
83,697.75,3
28,603.75,3
53,650.51,3
128,2269.21,3
1,417.6,3
1,3.75,3
16,312.55,3
4,0,3
193,2191.84,3
238,1272,3
354,6989.5,1
452,6694.31,1
45,826.96,3
69,1515.9,3
95,623.93,3
25,1764.72,3
9,207.5,3
32,214.2,3
2,2002.4,3
176,1484.63,3
13,239.4,3
7,106.83,3
22,369.34,3
43,772.84,3
13,316.62,3
89,1501.38,3
24,594.9,3
705,2736.3,3
1,34,3
34,1145.6,3
221,5560.8,1
58,458.04,3
40,380.39,3
144,733.26,3
247,2186.03,3
24,124.79,3
49,654.92,3
155,1557.51,3
75,388.09,3
49,213.6,3
16,245.94,3
337,9818.35,1
60,425.19,3
19,294.65,3
197,2242.25,3
3,107.6,3
155,597.48,3
5,80.8,3
95,1520.12,3
322,1706.28,3
12,110.38,3
16,243.84,3
274,1168.71,3
66,414.88,3
18,305.62,3
164,1201.49,3
119,867.83,3
24,332.3,3
60,536.99,3
96,450.69,3
103,801.49,3
67,1121.59,3
22,283.38,3
150,912.74,3
16,275.64,3
28,547.07,3
15,479.35,3
433,1668.48,3
322,6488.9,1
28,417.06,3
95,1446.95,3
190,3315.69,1
26,497.61,3
38,358.38,3
26,460.64,3
